experiment,module,dataset,n,metric,baseline,candidate,relative_change,status
R-002,recommendation,temporal_real_logs,118,MRR,0.6942,0.6942,0.0,baseline_corrected
R-004,recommendation,temporal_real_logs,118,MRR,0.6942,0.7458,0.0743,accepted
R-004,recommendation,temporal_real_logs,118,NDCG@3,0.7160,0.7584,0.0592,accepted
R-004,recommendation,temporal_real_logs,118,HitRate@3,0.8729,0.8814,0.0097,accepted
R-004,recommendation,persona_5seed_validation,2640,NDCG@3,0.5231,0.6310,0.2063,accepted
R-004,recommendation,persona_5seed_validation,2640,MRR,0.5420,0.6193,0.1426,accepted
R-004,recommendation,persona_5seed_validation,2640,LowTrustTop3Rate,0.01439,0.00922,-0.3597,accepted
T-003,trust,SNU_factcheck,30,SpearmanRho,0.308,0.391,0.2695,accepted
T-003,trust,SNU_factcheck_extremes,15,ROC_AUC,0.710,0.775,0.0915,accepted
T-003,trust,invariant_pairs,9,PassRate,0.8889,1.0,0.1250,accepted
R-005,recommendation,temporal_real_logs,118,HitRate@3,0.8390,0.8729,0.0404,accepted
R-005,recommendation,temporal_real_logs,118,MRR,0.5530,0.6942,0.2553,accepted
R-005,recommendation,temporal_real_logs,118,NDCG@3,0.5957,0.7160,0.2019,accepted
R-005,recommendation,paired_embedding_articles,21,SelfRetrievalTop1,0.2381,1.0000,3.2003,accepted
T-005,trust,SNU_factcheck_grounding_5fold_oof,30,SpearmanRho,0.3914,0.4621,0.1806,offline_candidate
T-005,trust,SNU_factcheck_grounding_5fold_oof,20,ROC_AUC,0.7750,0.8000,0.0323,offline_candidate
T-005,trust,SNU_factcheck_grounding_full_diagnostic,30,SpearmanRho_alpha_0.2,0.3914,0.5521,0.4105,diagnostic_only
T-005,trust,SNU_factcheck_grounding_full_diagnostic,20,ROC_AUC_alpha_0.2,0.7750,0.8600,0.1097,diagnostic_only
