weights,pair_id,case_type,signal,score_a,score_a_prime,margin,pass
W0,P1,pair,출처 신호,68,57.0,11,True
W0,P2,pair,근거 신호,76,41.0,35,True
W0,P3,pair,감정 신호,76,45.0,31,True
W0,P4,pair,제목 신호,68,37.0,31,True
W0,P5,pair,논리 신호,65,43.0,22,True
W0,P6,pair,복합 신호,88,0.0,88,True
W0,P7,pair,출처 등급,87,79.0,8,True
W0,P8,pair,근거 강도,73,79.0,6,True
W0,P9,single,단신 속보,69,,0,True
W1,P1,pair,출처 신호,59,52.0,7,True
W1,P2,pair,근거 신호,72,35.0,37,True
W1,P3,pair,감정 신호,77,40.0,37,True
W1,P4,pair,제목 신호,67,30.0,37,True
W1,P5,pair,논리 신호,60,40.0,20,True
W1,P6,pair,복합 신호,88,0.0,88,True
W1,P7,pair,출처 등급,89,82.0,7,True
W1,P8,pair,근거 강도,77,82.0,5,True
W1,P9,single,단신 속보,69,,0,True
W2,P1,pair,출처 신호,56,46.0,10,True
W2,P2,pair,근거 신호,70,38.0,32,True
W2,P3,pair,감정 신호,79,42.0,37,True
W2,P4,pair,제목 신호,67,25.0,42,True
W2,P5,pair,논리 신호,60,40.0,20,True
W2,P6,pair,복합 신호,90,0.0,90,True
W2,P7,pair,출처 등급,89,81.0,8,True
W2,P8,pair,근거 강도,76,81.0,5,True
W2,P9,single,단신 속보,69,,0,True
W3,P1,pair,출처 신호,63,57.0,6,True
W3,P2,pair,근거 신호,75,38.0,37,True
W3,P3,pair,감정 신호,76,41.0,35,True
W3,P4,pair,제목 신호,68,37.0,31,True
W3,P5,pair,논리 신호,64,42.0,22,True
W3,P6,pair,복합 신호,88,0.0,88,True
W3,P7,pair,출처 등급,88,82.0,6,True
W3,P8,pair,근거 강도,76,82.0,6,True
W3,P9,single,단신 속보,69,,0,True
W4,P1,pair,출처 신호,62,59.0,3,True
W4,P2,pair,근거 신호,75,33.0,42,True
W4,P3,pair,감정 신호,73,37.0,36,True
W4,P4,pair,제목 신호,68,35.0,33,True
W4,P5,pair,논리 신호,62,37.0,25,True
W4,P6,pair,복합 신호,86,0.0,86,True
W4,P7,pair,출처 등급,89,85.0,4,True
W4,P8,pair,근거 강도,78,85.0,7,True
W4,P9,single,단신 속보,66,,3,True
